n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
299,-1.3377926421404682,-3.3444816053511706,0.33444816053511706,0.1972,falcon,codealpaca,arc_challenge,ssm_only,__base__,1.0,False,False
164,3.048780487804878,-1.2195121951219512,7.317073170731707,0.198,qwen3,codealpaca,humaneval,gdn_only,gdn_plus_mlp,1.0,False,False
299,1.3377926421404682,-0.33444816053511706,3.3444816053511706,0.1982,falcon,ultrachat,arc_challenge,ssm_only,mlp_only,1.0,False,False
299,-1.3377926421404682,-3.3444816053511706,0.33444816053511706,0.1984,falcon,gsm8k_train,arc_challenge,ssm_only,__base__,1.0,False,False
157,-2.547770700636943,-6.369426751592357,0.6369426751592357,0.1996,falcon,codealpaca,humaneval,all_eligible,ssm_only,1.0,False,False
256,3.515625,-1.5625,8.59375,0.1996,falcon,gsm8k_train,gsm8k,all_eligible,attention_plus_mlp,1.0,False,False
512,1.5625,-0.78125,3.90625,0.2006,falcon,ultrachat,hellaswag,ssm_only,attention_plus_mlp,1.0,False,False
164,-3.048780487804878,-7.317073170731707,1.2195121951219512,0.2008,qwen3,codealpaca,humaneval,softmax_only,softmax_plus_mlp,1.0,False,False
256,3.515625,-1.5625,8.984375,0.2068,falcon,codealpaca,gsm8k,all_eligible,attention_only,1.0,False,False
164,3.048780487804878,-1.2195121951219512,7.317073170731707,0.2068,qwen3,codealpaca,humaneval,gdn_only,mlp_only,1.0,False,False
299,-1.3377926421404682,-3.3444816053511706,0.33444816053511706,0.2088,falcon,ultrachat,arc_challenge,mlp_only,ssm_plus_mlp,1.0,False,False
256,-3.515625,-8.59375,1.5625,0.2088,qwen3,codealpaca,gsm8k,mlp_only,gdn_plus_mlp,1.0,False,False
299,1.3377926421404682,-0.33444816053511706,3.3444816053511706,0.2098,qwen3,ultrachat,arc_challenge,softmax_only,__base__,1.0,False,False
256,-3.90625,-9.375,1.953125,0.2102,qwen3,codealpaca,gsm8k,all_layers,gdn_plus_mlp,1.0,False,False
512,-1.171875,-2.9296875,0.390625,0.2148,falcon,codealpaca,hellaswag,all_eligible,ssm_only,1.0,False,False
512,-1.3671875,-3.3203125,0.5859375,0.2176,falcon,codealpaca,hellaswag,ssm_plus_mlp,__base__,1.0,False,False
128,-5.46875,-14.0625,2.34375,0.2188,qwen3,gsm8k_train,gsm8k,softmax_only,softmax_plus_mlp,1.0,False,False
299,-2.341137123745819,-6.0200668896321075,1.3377926421404682,0.2222,qwen3,codealpaca,arc_challenge,all_layers,mlp_only,1.0,False,False
